"마트","바코드","상품명","이미지","규격","원가","실판매가","판매시작","판매종료","재고"
럭키마트 검암점,"8801047352037",동원)크리스피양념감자,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801047352037,"800g",10500,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,5
럭키마트 검암점,"8801166021050",크리넥스)무향 각티슈,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%A0%90/유한-크리넥스미용티슈(무향).jpg,"180매*6",12500,500,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,0
럭키마트 검암점,"8801051031942",엘지)스케일링케어쿨링치약,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801051031942,"100g*3개입",7800,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,9
럭키마트 검암점,"8809030910028",영양찹쌀/국산,https://s3.ap-northeast-2.amazonaws.com/sopt.seongjin.com/영양찹쌀(국산).jpg,"2kg",14500,2500,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,7
럭키마트 검암점,"8801045491707",[오뚜기] 옛날국수 소면,https://s3.ap-northeast-2.amazonaws.com/sopt.seongjin.com/오뚜기-옛날국수(소면).jpg,"3kg",11700,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,0
럭키마트 검암점,"8809003991603",동남)해달음도시락김,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/KakaoTalk_20230505_112657204.jpg,"27단",10800,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,3
럭키마트 검암점,"8801007349350",[하선정] 포기김치,https://d2rrvvl2hhzoww.cloudfront.net/upload/image/126/b58e0b3b-3415-406d-a3ce-8fa6211429be_1.jfif,"1.5kg",18500,3800,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,8
럭키마트 검암점,"8801115511113",서울)버터/무염,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801115511113,"450g",12500,500,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,1
럭키마트 검암점,"8801019208737",해태)미니자유시간,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%A0%90/8801019208737.jpg,"480g",10800,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,0
럭키마트 검암점,"8809132251937",냉동블루베리/미국산,https://s3.ap-northeast-2.amazonaws.com/stage.aswemake.qmarket.com/upload/8809132255249.jpg,"1kg",9900,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,6
럭키마트 검암점,"8801074802628",한성)프리미엄김밥세트,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fcdd97c25-b8f2-48fd-9656-d2f4905bf655%2Fcdd97c25-b8f2-48fd-9656-d2f4905bf655_front_angle_1000.jpg?alt=media&token=e42f1e7d-d3e4-425d-acfc-0d3c87183605,"440g",9900,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,2
럭키마트 검암점,"8801037086461",동서)둥굴레차,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801037086461,"1.2g*100",11000,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,10
